"","soc_uni","soc","occupation","id","new_descript","word","definition"
"188","39-3031","39-3031.00","Ushers, Lobby Attendants, and Ticket Takers"," 5107","Sell food and drinks during breaks in events. Get food and drink for people sitting in the press box.",NA,NA
"189","39-3092","39-3092.00","Costume Attendants"," 9616","Arrange costumes in the order they will be worn. Help speed up costume changes during events.","arrange","Put in order."
"190","39-3092","39-3092.00","Costume Attendants"," 9616","Arrange costumes in the order they will be worn. Help speed up costume changes during events.","costumes","The clothes that performers wear."
"191","39-3092","39-3092.00","Costume Attendants"," 9615","Hand out costumes or equipment. Keep records of who has what items.","costumes","The clothes that performers wear."
"192","39-3092","39-3092.00","Costume Attendants"," 9626","Keep records of costumes, wigs, or makeup. Keep those items safe and ready to use. Give access to people who are allowed to handle the items.","costumes","The clothes that performers wear."
"193","39-3092","39-3092.00","Costume Attendants"," 9626","Keep records of costumes, wigs, or makeup. Keep those items safe and ready to use. Give access to people who are allowed to handle the items.","access","The right to use a place or thing."
"194","39-3093","39-3093.00","Locker Room, Coatroom, and Dressing Room Attendants"," 4472","Make sure customers follow the rules. Make sure the space stays safe and in order.",NA,NA
"195","39-3093","39-3093.00","Locker Room, Coatroom, and Dressing Room Attendants"," 4469","Clean and shine shoes. Use brushes, sponges, cleaners, waxes, and more.",NA,NA
"196","39-3093","39-3093.00","Locker Room, Coatroom, and Dressing Room Attendants"," 4473","Get food, drinks, and other items that are asked for.",NA,NA
"197","39-4021","39-4021.00","Funeral Attendants"," 4514","Close caskets at the right time during funerals and viewing hours.","casket","Coffin that holds the body of a person who has died."
"198","39-4021","39-4021.00","Funeral Attendants"," 4514","Close caskets at the right time during funerals and viewing hours.","funeral","Service for a person who has died."
"199","39-4021","39-4021.00","Funeral Attendants"," 4518","Put out caskets before funerals and viewing hours.","casket","Coffin that holds the body of a person who has died."
"200","39-4021","39-4021.00","Funeral Attendants"," 4518","Put out caskets before funerals and viewing hours.","funeral","Service for a person who has died."
"201","39-4021","39-4021.00","Funeral Attendants"," 4525","Hand out and store funeral equipment.","funeral","Service for a person who has died."
"202","39-4021","39-4021.00","Funeral Attendants"," 4525","Hand out and store funeral equipment.","store","To keep something for later use."
"203","39-5092","39-5092.00","Manicurists and Pedicurists"," 8748","Clean tools and work spaces. Kill germs.","germ","A tiny living thing that spreads illness."
"204","39-5092","39-5092.00","Manicurists and Pedicurists"," 8753","Polish people’s fingernails. Use a brush to spread on layers of clear or colored polish.",NA,NA
"205","39-5092","39-5092.00","Manicurists and Pedicurists"," 8752","Shape and smooth the ends of fingernails. Use scissors, files, and more.",NA,NA
"206","39-5093","39-5093.00","Shampooers","14818","Clean people’s hair. Rub shampoo and conditioner into their hair and scalp.","conditioner","Hair product that helps smooth and control hair."
"207","39-5093","39-5093.00","Shampooers","14818","Clean people’s hair. Rub shampoo and conditioner into their hair and scalp.","scalp","Skin that covers the head."
"208","39-5093","39-5093.00","Shampooers","14820","Treat scalp problems and hair loss. Use special shampoos, lamps, or equipment.","scalp","Skin that covers the head."
"209","39-5093","39-5093.00","Shampooers","14821","Keep records of hair treatments.",NA,NA
"210","39-6011","39-6011.00","Baggage Porters and Bellhops"," 2314","Bring people’s bags and suitcases to and from different places. Those places include rooms, cars, and loading areas. Carry by hand or use carts.",NA,NA
"211","39-6011","39-6011.00","Baggage Porters and Bellhops"," 2317","Greet guests and bring them to their rooms.",NA,NA
"212","39-6011","39-6011.00","Baggage Porters and Bellhops"," 2315","Help guests get where they want to go. Tell them about services they can use. Tell them about fun or special sites in the area.","services","Helpful or useful things."
"213","39-9011","39-9011.00","Childcare Workers"," 2336","Watch over children as they play.",NA,NA
"214","39-9011","39-9011.00","Childcare Workers","18760","Make sure children take naps or rest.",NA,NA
"215","39-9011","39-9011.00","Childcare Workers"," 2343","Run day-care centers that are in work places or business places.",NA,NA
"216","39-9021","39-9021.00","Personal Care Aides"," 2372","Do household tasks for patients. Cook, clean, wash clothes or dishes, and more. Run errands.","errands","Trips to do a certain task, like food shopping or mailing a letter."
"217","39-9021","39-9021.00","Personal Care Aides"," 2375","Plan, shop for, and make healthy meals for patients. Help patients or families make healthy meals for themselves.",NA,NA
"218","39-9021","39-9021.00","Personal Care Aides"," 2379","Help patients talk and write to others. Get info for them. Type emails and letters for them.",NA,NA
"219","41-2022","41-2022.00","Parts Salespersons"," 2427","Take and fill phone orders for parts.","parts","Pieces needed to make a whole machine work. Example"
"220","41-2022","41-2022.00","Parts Salespersons"," 2425","Find out the stock numbers and prices of parts that need to be replaced. Read through catalogs, computer listings, and more.","catalog","A list, book, or record of things for sale."
"221","41-2022","41-2022.00","Parts Salespersons"," 2429","Write up sales slips or sales contracts.",NA,NA
"222","41-2031","41-2031.00","Retail Salespersons","  694","Greet customers and find out what they want or need.",NA,NA
"223","41-2031","41-2031.00","Retail Salespersons","  700","Pick out and find items that customers want or need. Give customers advice about what to buy.",NA,NA
"224","41-2031","41-2031.00","Retail Salespersons","  701","Answer questions about the store and items for sale.",NA,NA
"225","41-9011","41-9011.00","Demonstrators and Product Promoters","13190","Show how products and services work. Do so in a way that gets people to buy or use those things.","services","Helpful acts, things that are done for other people."
"226","41-9011","41-9011.00","Demonstrators and Product Promoters","13206","Learn about products that you will show to customers. Get ready to show how products work.",NA,NA
"227","41-9011","41-9011.00","Demonstrators and Product Promoters","13203","Go to trade shows, stores, and other places to show how products and services work. Answer questions for people who might buy products.","services","Helpful acts, things that are done for other people."
"228","41-9041","41-9041.00","Telemarketers"," 4618","Give sales talks. Read from scripts that describe goods and services. Tell people about a cause that needs money. Get people to buy things or to give money.","goods","Things people buy."
"229","41-9041","41-9041.00","Telemarketers"," 4618","Give sales talks. Read from scripts that describe goods and services. Tell people about a cause that needs money. Get people to buy things or to give money.","services","Helpful acts, things that are done for other people."
"230","41-9041","41-9041.00","Telemarketers"," 4619","Call people and businesses on the phone. Get them to buy products or give money to a cause.",NA,NA
"231","41-9041","41-9041.00","Telemarketers"," 4620","Tell people how goods or services work. Tell them the price of products. Answer questions.","goods","Things people buy."
"232","41-9041","41-9041.00","Telemarketers"," 4620","Tell people how goods or services work. Tell them the price of products. Answer questions.","services","Helpful acts, things that are done for other people."
"233","43-3041","43-3041.00","Gaming Cage Workers"," 4661","Follow all gaming rules and laws.",NA,NA
"234","43-3041","43-3041.00","Gaming Cage Workers"," 4665","Guard the gaming cage. That is the place where money and gaming chips are handled.",NA,NA
"235","43-3041","43-3041.00","Gaming Cage Workers"," 4669","Sell gaming chips, tokens, or tickets to players. Sell them to workers who will resell them to players.",NA,NA
"236","43-3051","43-3051.00","Payroll and Timekeeping Clerks"," 2524","Fill in time sheets that show when workers start and stop work.",NA,NA
"237","43-3051","43-3051.00","Payroll and Timekeeping Clerks"," 2528","Prepare reports for the end of a given period. Make sure spending and hours add up. Match payrolls to bank statements.","period","A length of time."
"238","43-3051","43-3051.00","Payroll and Timekeeping Clerks"," 2525","Update clients’ files with the number of hours worked and money owed. Bill clients.","clients","People, businesses, or groups who have hired you for your services and help."
"239","43-4051","43-4051.00","Customer Service Representatives","18565","Talk to customers on the phone and in person. Give them info about goods and services. Take and enter orders. Cancel orders. Listen to complaints.","goods","Things people buy."
"240","43-4051","43-4051.00","Customer Service Representatives","18565","Talk to customers on the phone and in person. Give them info about goods and services. Take and enter orders. Cancel orders. Listen to complaints.","services","Helpful acts, things that are done for other people."
"241","43-4051","43-4051.00","Customer Service Representatives","18565","Talk to customers on the phone and in person. Give them info about goods and services. Take and enter orders. Cancel orders. Listen to complaints.","complaint","Reason someone is not happy or pleased."
"242","43-4051","43-4051.00","Customer Service Representatives"," 2584","Fill out contract forms. Prepare change of address records. Cancel or stop service orders. Use computers.",NA,NA
"243","43-4051","43-4051.00","Customer Service Representatives"," 2583","Figure out how much services will cost. Collect money and down payments. Set up billing.","services","Helpful acts, things that are done for other people."
"244","43-4051","43-4051.00","Customer Service Representatives"," 2583","Figure out how much services will cost. Collect money and down payments. Set up billing.","down payment","A payment made ahead of time. Often not the full amount owed."
"245","43-4081","43-4081.00","Hotel, Motel, and Resort Desk Clerks"," 2610","Greet and sign in guests. Pick out rooms for guests to stay in. Hand out room keys and cards.",NA,NA
"246","43-4081","43-4081.00","Hotel, Motel, and Resort Desk Clerks"," 2615","Tell bellhops what rooms guests are staying in. Give bellhops room keys and cards.",NA,NA
